Gryoscope_X,Gryoscope_Y,Gryoscope_Z
-1.149318712,-1.183883088,-0.37410848
-0.984265821,-1.318133609,-0.250986026
-0.809647458,-1.327268498,-0.108136194
-0.647439079,-1.200423496,0.020145348
-0.522211389,-1.022155421,0.114730707
-0.413070546,-0.844534295,0.176198868
-0.304219143,-0.711285727,0.214935599
-0.186827006,-0.612956242,0.239936559
-0.033189514,-0.558987813,0.261400296
0.164259372,-0.544462101,0.272768809
0.408270968,-0.535883562,0.279159052
0.68787734,-0.503487246,0.276001616
1.001767619,-0.43692659,0.241416751
1.315190299,-0.334341364,0.17183022
1.597341759,-0.146575721,0.09932938
1.829361899,0.055853808,0.035412716
1.982809289,0.201692773,0.005920339
2.070450647,0.312851502,0.0296776
2.098263366,0.378421469,0.066838285
2.070321663,0.400096132,0.110170579
1.983557088,0.408816649,0.154077051
1.848549469,0.437074406,0.204754872
1.679448588,0.457580192,0.263317241
1.459682686,0.411486222,0.326946838
1.198856933,0.312038196,0.412743492
0.949719055,0.174800707,0.483833654
0.746177657,-0.014767096,0.512488706
0.636506302,-0.193480911,0.466496987
0.606276198,-0.284262227,0.364693416
0.631463034,-0.279617922,0.254887803
0.683316393,-0.216550814,0.164321704
0.737721069,-0.105238141,0.123919947
0.766400917,-0.002970625,0.143039314
0.740229471,0.056416268,0.18509516
0.651691599,0.057031194,0.214283137
0.519034488,0.037755234,0.198642923
0.348890199,0.016516524,0.15164238
0.140354572,0.01885611,0.081766633
-0.108891735,0.068096629,0.007101717
-0.350354956,0.17195618,-0.061159095
-0.525614636,0.272438837,-0.11469263
-0.676835315,0.306363775,-0.156368704
-0.854095893,0.274620516,-0.163626881
-1.052651303,0.164386673,-0.140675487
-1.249232786,-0.005903298,-0.113694476
-1.390423195,-0.207205789,-0.07848482
-1.493098991,-0.403662639,-0.026607778
-1.564009683,-0.512968914,0.023115037
-1.609598176,-0.538346665,0.080759427
-1.604551451,-0.583849208,0.10537955
-1.571834342,-0.704578833,0.078102125
-1.532154219,-0.800466196,0.029511418
-1.526155488,-0.815939443,-0.011742811
-1.568643587,-0.785625176,-0.042439738
-1.622311013,-0.739922659,-0.059779314
-1.638438361,-0.684386449,-0.041772349
-1.575105445,-0.660795884,-0.012745225
-1.427419798,-0.621990995,0.022554176
-1.206646459,-0.55625643,0.049440919
-0.926786857,-0.510091858,0.071384831
-0.619177894,-0.525423722,0.088826409
-0.288265752,-0.5607356,0.098983167
0.065943731,-0.595262186,0.089098847
0.43436463,-0.607683139,0.043063978
0.802235885,-0.553018825,-0.042685812
1.165492041,-0.423618512,-0.153785707
