class_name,Acceleration_X,Acceleration_Y,Acceleration_Z,Gryoscope_X,Gryoscope_Y,Gryoscope_Z
,-0.548370361,-0.357284546,0.206207275,-1.192910552,-0.624299526,1.82386744
,-0.577911377,-0.394973755,0.180343628,-1.309055567,-0.589236915,1.890756488
,-0.625946045,-0.414962769,0.13949585,-1.461270928,-0.514644146,1.953728795
,-0.656051636,-0.441970825,0.112472534,-1.601641893,-0.409756631,1.96842885
,-0.656051636,-0.441970825,0.112472534,-1.735691309,-0.377158731,1.955664873
,-0.685638428,-0.474472046,0.004562378,-1.810596108,-0.496237725,1.976359844
,-0.685638428,-0.474472046,0.004562378,-1.805297256,-0.719935775,2.044516325
,-0.746658325,-0.587753296,-0.120727539,-1.752424121,-0.902158856,2.17206502
,-0.746658325,-0.587753296,-0.120727539,-1.73506856,-0.931036055,2.29624939
,-0.912078857,-0.725418091,-0.266387939,-1.795837164,-0.763799667,2.327554226
,-0.912078857,-0.725418091,-0.266387939,-1.917388916,-0.445909292,2.291550159
,-1.1353302,-0.820648193,-0.41065979,-2.026784897,-0.118622787,2.212818384
,-1.1353302,-0.820648193,-0.41065979,-2.063345909,0.042078476,2.084780455
,-1.3150177,-0.754760742,-0.574768066,-1.953673124,-0.046922237,1.921485066
,-1.3150177,-0.754760742,-0.574768066,-1.710216045,-0.398967892,1.744627476
,-1.378051758,-0.713165283,-0.646942139,-1.396909952,-0.821743906,1.58390975
,-1.434585571,-0.732543945,-0.704391479,-1.049070001,-1.185810328,1.44329536
,-1.503677368,-0.768768311,-0.734970093,-0.684798837,-1.447057009,1.292732239
,-1.556365967,-0.782073975,-0.734390259,-0.30327785,-1.581277728,1.173423409
,-1.632537842,-0.817749023,-0.714080811,0.020053336,-1.553341985,1.045838475
,-1.726074219,-0.827682495,-0.700119019,0.241881877,-1.355485559,0.851154029
,-1.811431885,-0.826919556,-0.671051025,0.370858759,-1.055422425,0.600841641
,-1.875839233,-0.866043091,-0.634262085,0.430520505,-0.755124927,0.276255012
,-1.886154175,-0.890258789,-0.602905273,0.533809841,-0.606226027,-0.060138706
,-1.888641357,-0.869918823,-0.553436279,0.745633721,-0.832364619,-0.365720451
,-1.847869873,-0.810821533,-0.487106323,0.989976883,-1.370919704,-0.557092011
,-1.824234009,-0.825012207,-0.435012817,1.170788407,-1.950692534,-0.738465011
,-1.836990356,-0.806427002,-0.366516113,1.20910418,-2.337826014,-1.002322197
,-1.855682373,-0.810058594,-0.314926147,1.123207569,-2.479357958,-1.372205138
,-1.883529663,-0.844009399,-0.277694702,1.05964911,-2.479007244,-1.782210827
,-1.916809082,-0.858963013,-0.224563599,1.110741854,-2.449515104,-2.173923969
